CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,P21,PP04D_COD,P47T,REGION,AGLOMERADO,TRIMESTRE,ANO4
Varón,20.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,433.3333333333333,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,59.0,Casado,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,875.0,2000.0,50111,2000.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,59.0,Casado,Mutual/Prepaga/Servicio de emergencia,Secundaria Completa,Inactivo,Ama de casa,875.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,32.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,875.0,800.0,10313,800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,27.0,Soltero,No paga ni le descuentan,Secundaria Completa,Ocupado,0.0,875.0,700.0,10313,700.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,24.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,0.0,900.0,900.0,20203,900.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,50.0,Separado o divorciado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Ocupado,0.0,1000.0,2500.0,05002,2500.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,19.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Incompleta,Inactivo,Estudiante,1000.0,0.0,     ,200.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,15.0,Soltero,Mutual/Prepaga/Servicio de emergencia,Secundaria Incompleta,Inactivo,Estudiante,1000.0,0.0,     ,300.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,69.0,Casado,No paga ni le descuentan,Superior Universitaria Incompleta,Ocupado,0.0,50.0,100.0,34323,100.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,56.0,Casado,No paga ni le descuentan,Superior Universitaria Completa,Desocupado,0.0,50.0,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,25.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,575.0,0.0,     ,700.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,21.0,Soltero,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,Estudiante,575.0,0.0,     ,450.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,26.0,Soltero,No paga ni le descuentan,Superior Universitaria Completa,Desocupado,0.0,1150.0,0.0,     ,1150.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,33.0,Unido,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,1175.0,1000.0,48313,1800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,28.0,Unido,No paga ni le descuentan,Secundaria Incompleta,Ocupado,0.0,1175.0,550.0,53314,550.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,66.0,Casado,Mutual/Prepaga/Servicio de emergencia,Superior Universitaria Completa,Ocupado,0.0,2950.0,4200.0,05001,4200.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,61.0,Casado,Mutual/Prepaga/Servicio de emergencia,Secundaria Completa,Inactivo,Rentista,2950.0,0.0,     ,1700.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,28.0,Unido,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,0.0,266.6666666666667,800.0,30313,800.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,27.0,Unido,Obra social (incluye PAMI),Superior Universitaria Completa,Inactivo,Ama de casa,266.6666666666667,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,1.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,266.6666666666667,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,29.0,Casado,Obra social (incluye PAMI),Primaria Completa,Ocupado,0.0,529.3333333333334,609.0,32314,859.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,32.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,529.3333333333334,509.0,80313,729.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,3.0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,Menor de 6 años,529.3333333333334,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,92.0,Viudo,Obra social (incluye PAMI),Primaria Completa,Inactivo,Jubilado/pensionado,425.0,0.0,     ,425.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,56.0,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,0.0,391.6666666666667,600.0,34323,600.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Mujer,55.0,Casado,Obra social (incluye PAMI),Primaria Completa,Inactivo,Ama de casa,391.6666666666667,0.0,     ,0.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
Varón,20.0,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,0.0,391.6666666666667,550.0,34314,550.0,Gran Buenos Aires,Ciudad de Buenos Aires,1er. Trimestre,2004
